N/o,Data anuntului,IDNO,Denumirea,Adresa,Din,In
1,2025-01-02,1003600074540,"Asociaţia de Proprietari din Condominiu ""A0140-0167""","MD-2044, str. Petru Zadnipru 19/3, mun. Chişinău, Republica Moldova","ASOCIATIA DE PROPRIETARI DIN CONDOMINIU ""A0140-0166""","Asociaţia de Proprietari din Condominiu ""A0140- 0167"""
2,2025-01-03,1003600070704,"Asociaţia de Proprietari din Condominiu ""A0110-0251""","MD-2072, bd. Cuza-Vodă 25/4, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.51/121""","Asociaţia de Proprietari din Condominiu ""A0110- 0251"""
3,2025-01-06,1003600095549,"Societatea cu Răspundere Limitată ""CASGRUP AI""","MD-2044, str. Ginta Latină 13/1, mun. Chişinău, Republica Moldova","SOCIETATEA PE ACTIUNI ""SET-SERVICE""","Societatea cu Răspundere Limitată ""CASGRUP AI"""
4,2025-01-06,1023600003076,"Societatea cu Răspundere Limitată ""12 P.M.""","MD-6825, s. Ruseştii Noi, r-l Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""4OZASHOP""","Societatea cu Răspundere Limitată ""12 P.M."""
5,2025-01-09,1010600037569,"Societatea cu Răspundere Limitată ""ELIMO RUSSEL ACCOUNTANTS""","MD-2062, bd. Dacia 53, ap.(of.) 69, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MANAGER GT ALFA""","Societatea cu Răspundere Limitată ""ELIMO RUSSEL ACCOUNTANTS"""
6,2025-01-10,1020600028739,"Societatea cu Răspundere Limitată ""B.T.M.S. PERSONALSERVICE M""","MD-4434, s. Răciula, r-l Călăraşi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AVM COMMERCIAL TRADING""","Societatea cu Răspundere Limitată ""B.T.M.S. PERSONALSERVICE M"""
7,2025-01-10,1003600151724,"INSTITUŢIA MEDICO-SANITARĂ PUBLICĂ ""INSTITUTUL DE PNEUMOLOGIE ""CHIRIL DRAGANIUC""""","MD-2025, str. Constantin Vârnav 13, mun. Chişinău, Republica Moldova","INSTITUTIA MEDICO-SANITARA PUBLICA ""INSTITUTUL DE FTIZIOPNEUMOLOGIE ""CHIRIL DRAGANIUC""""","INSTITUŢIA MEDICO-SANITARĂ PUBLICĂ ""INSTITUTUL DE PNEUMOLOGIE ""CHIRIL DRAGANIUC"""""
8,2025-01-10,1019607002471,"Societatea cu Răspundere Limitată ""STATI GROUP""","MD-5202, str. Burebista 11, ap.(of.) 4, or. Drochia, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AUTOSTAT-SOF""","Societatea cu Răspundere Limitată ""STATI GROUP"""
9,2025-01-13,1010600040538,"Asociaţia de Proprietari din Condominiu ""A0110-0250""","MD-2038, str. Trandafirilor 11/5, ap.(of.) 6, mun. Chişinău, Republica Moldova","ASOCIATIA DE COPROPRIETARI IN CONDOMINIU ""NR.55/233""","Asociaţia de Proprietari din Condominiu ""A0110- 0250"""
10,2025-01-13,1007608000561,"Societatea cu Răspundere Limitată ""VRAB-FB""","MD-2068, str. Kiev 10/2, ap.(of.) 10, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""VRAB-FB"" S.R.L.","Societatea cu Răspundere Limitată ""VRAB-FB"""
